"To your address","Til døren"
"To a post office","Til pakkeutleveringssted"
"To your Business","Til bedriftsadresse"
"To my mailbox","Til postkassen"
"We will arrive","Pakken kommer"
"We will arrive in","Sendes innen"
"1-3 days ","2-5 dager"
"Delivery type","Pakken leveres"
"Personal Delivery","Levering mot signatur"
"Please note that small packeges will be delivered directly to your mall box.",""
"Skift postnumber","Endre postnummer"
"Cancel","Avbryt"
"International Parcel delivered by DPD","Internasjonal pakke levert av DPD"
"Select delivery day","Velg leveringsdato"
"Standart Delivery","Standard levering"
"Smart Delivery","Smartlevering"
"Choose delivery option","Velg leveringsalternativ"
"Normal delivery (2-3 days)","Standard levering (2-4 dager)"
"Flex delivery","Levering uten signering (pakken settes på anvist sted om du ikke er tilstede)"
"Flex Delivery","Levering uten signering (pakken settes på anvist sted om du ikke er tilstede)"
"In front of the Door","Foran hoveddøren"
"Carport","Carport/garage"
"Infront of backdoor","Ved bagdøren"
"I have modttagarflex","Jeg har Modtagerflex"
"Other place","Andet sted"
"Opening hours","Åpningstider"
"Added services","Tilleggstjenester"
"None","Ingen"
"Carry in and up","Inn- og oppbæring til anvist sted"
"Unwrapping","Avemballering (utpakking)"
"Installation","Installasjon"
"Pick a point", "velger tjeneste plass"
"Choose a method", "Velge en metode"
"Within 1-5 days 08:00 - 17:00", "innen 1-5 dager 08:00 - 17:00"
"Choose delivery options", "Velg leveringsdato"
"Postnummer", "Endre postnummer"
"Mon", "Man"
"Tue", "Tirs"
"Wed", "Ons"
"Thu", "Tor"
"Fri", "Fre"
"Sat", "Lør"
"Sun", "Søn"
"Choose delivery option commercial arrival","Velg leveringsalternativ"
"Choose delivery option commercial delivery","Velg leveringsalternativ"
"Choose delivery option private arrival","Velg leveringsalternativ"
"Choose delivery option private delivery","Velg leveringsalternativ"
"Choose delivery option mailbox arrival","Velg leveringsalternativ"
"Choose delivery option mailbox delivery","Velg leveringsalternativ"
"Label arrival time commercial:","Sendes innen:"
"Label arrival commercial:","Pakken kommer:"
"Label delivery commercial:","Pakken leveres:"
"Label arrival time private:","Sendes innen:"
"Label arrival private:","Pakken kommer:"
"Label delivery private:","Pakken leveres:"
"Label arrival time mailbox:","Sendes innen:"
"Label arrival mailbox:","Pakken kommer:"
"Label delivery mailbox:","Pakken leveres:"
"Label arrival time pickup:","Sendes innen:"
"Label arrival pickup:","Pakken leveres:"
"Label delivery pickup:","Pakken kommer med:"
"You will have the opportunity to choose the time of delivery as soon as we have received your package", "Du vil få mulighet til å velge tidspunkt for levering så snart vi har mottatt pakken din"
"The package comes the same place as your local newspaper, either in your mailbox or on the doormat.", "Pakken leveres samme sted som din lokalavis, enten i postkassen eller på dørmatten."
"By paying 10 crowns carbon offsets for my delivery and contribute to the transition to renewable energy.","Genom att betala 10 kronor klimatkompenserar jag för min leverans och bidrar till omställningen till förnybar energi."
"Your 10 crowns will go to projects certified by the UN. The projects aim to replace fossil energy production in developing countries with renewable energy. The projects are also certified according to the Gold Standard, which involves additional requirements on social responsibility and sustainable development. You can read more about carbon offsetting and PostNord's sustainability work on postnord.com", "Dina 10 kronor går oavkortat till projekt certifieradeav FN. Projekten syftar till att ersätta fossil energiproduktioni utvecklingsländer med produktion av förnybar energi.Projekten är även certifierade enligt Gold Standard, sominnebär ytterligare krav på socialt ansvarstagande ochen hållbar utveckling. Du kan läsa mer om klimatkompensationoch PostNords hållbarhetsarbete på postnord.com."
"Tillbaka","Tilbake"
"Ändra ombud","Bytt agent"
"Visa fler ombud","Se flere agenter"
"Sök postnummer","Søk postnummer"
"Sök","Søk"
"kr","NKR"
"Mån-Fre","Man-Fre"
"Lör-Sön","Lør-Søn"
"Paketet levereras till:","Pakken leveres til:"
"bort","unna"
"Andra ombud","Andre agenter"
"När vill du att vi ska komma?","Når vil du at vi skal komme?"
"Vi kommer till ditt jobb dagtid mellan kl 8-17","Vi kommer til arbeidet ditt dagtid mellom kl 8-17"
"Vi kommer till ditt jobb dagtid mellan kl 8-17","Vi kommer til arbeidet ditt dagtid mellom kl 8-17"
"Välj hur snabbt paketet ska levereras:","Velg hvor fort pakken skal leveres:"
